type,content
compliment,"You're the only person I want to come back to when it feels like the rest of the world has become too much."
compliment,"Your bellybutton is kind of adorable."
compliment,"Hugging you is the only comfort I need."
compliment,"You're not as dumb as you let people think you are."
compliment,"You're more of a superhero than any Marvel character out there."
compliment,"There's a softness behind your eyes."
compliment,"You look so young!"
compliment,"There's no one like you."
compliment,"You have the best sense of style."
compliment,"When you make a mistake, you try to fix it."
compliment,"You're really something special."
compliment,"I like your style."
compliment,"That color is perfect on you."
compliment,"You could survive a zombie apocalypse."
compliment,"With you, I'm at peace."
compliment,"It would be torture to lose you."
compliment,"There should be a monument of you."
compliment,"You're better than a triple-scoop ice cream cone. With sprinkles."
compliment,"The very thought of you makes me feel warm and fuzzy."
compliment,"You're even better than a unicorn, because you're real."
compliment,"You are way too smart for me."
compliment,"You have taught me so much."
compliment,"Hanging out with you is always a blast."
compliment,"Your existence has made my life infinitely better since knowing you."
compliment,"The world would be so boring without you."
compliment,"Someone is getting through something hard right now because you've got their back."
compliment,"You help me feel more joy in life."
compliment,"You have impeccable manners."
compliment,"You've got all the right moves."
compliment,"My life before you was utter dullness."
compliment,"You're really fun to be around. Even when we aren't doing anything at all just being around you makes me feel content."
compliment,"You have a good head on your shoulders."
compliment,"I know that you will always have my back, because that is the kind of person you are."
compliment,"You're the kind of person who could make even Kanye smile."
compliment,"You are stunning."
compliment,"Jokes are funnier when you tell them."
compliment,"You are more fun than anyone or anything I know, including bubble wrap."
compliment,"Things shift when you enter the chat."
compliment,"You're inspiring."
compliment,"Everyday is just BLAH when I don't see you"
compliment,"You're more helpful than you realize."
compliment,"You are an excellent friend."
compliment,"Defenseless animals are drawn to you."
compliment,"Your parents must be so proud of you."
compliment,"I've never met anyone as caring as you."
compliment,"You are the light."
compliment,"Is that your picture next to ""charming"" in the dictionary?"
compliment,"When you're not afraid to be yourself is when you're most incredible."
compliment,"You're a great listener."
compliment,"I bet you do crossword puzzles in ink."
compliment,"Your smile is contagious."
compliment,"You light up the room."
compliment,"Your ability to recall random factoids at just the right time is impressive."
compliment,"Aside from food. You're my favorite."
compliment,"You're an awesome friend."
compliment,"You should be thanked more often. Thank you."
compliment,"You're a gift to those around you."
compliment,"If cartoon bluebirds were real, a bunch of them would be sitting on your shoulders singing right now."
compliment,"You're my constant reminder that people can be good."
compliment,"You are one of the bravest people I know."
compliment,"Your voice soothes me."
compliment,"You are a life elixir."
compliment,"I hope you are proud of yourself, because I am!"
compliment,"There's currently nothing I'd rather do than spend time with you."
compliment,"You make the little things feel big."
compliment,"You are my world."
compliment,"You changed everything for me."
compliment,"I appreciate the way you challenge me."
compliment,"I find myself smiling so much more, now that I know you."
compliment,"You have the courage of your convictions."
compliment,"When we're both online, the rest of the world melts away."
compliment,"You're a candle in the darkness."
compliment,"You have a gift for making people comfortable."
compliment,"Your outlook on life is amazing."
compliment,"When it comes to cooking, no one's meals are quite as delicious."
compliment,"Any team would be lucky to have you on it."
compliment,"You are so special to me."
compliment,"You are awesome!"
compliment,"Thank you for being there."
compliment,"You should be proud of yourself."
compliment,"Your name suits you to a T."
compliment,"You are awesomeness personified."
compliment,"Your soul is gorgeous."
compliment,"You're so strong."
compliment,"You're like sunshine on a rainy day."
compliment,"Your heart must be ten times the average size."
compliment,"When I see you, everything else within the frame falls away."
compliment,"You make me want to be a better person."
compliment,"Wow. You."
compliment,"Our system of inside jokes is so advanced that only you and I get it. And I like that."
compliment,"You're the coolest person I know."
compliment,"You have the best ideas."
compliment,"How do you keep being so funny and making everyone laugh?"
compliment,"You are my favorite loot roller."
compliment,"I want to grow into a person like you."
compliment,"You've got great leadership skills."
compliment,"You're gorgeous - and that's the least interesting thing about you, too."
compliment,"You're all that and a super-size bag of chips."
compliment,"You're that ""Nothing"" when people ask me what I'm thinking about."
compliment,"You are really courageous."
compliment,"I never saw the point of taking screenshots until I met you. I want to keep our memories alive forever."
compliment,"How is it that you always look great, even in sweatpants?"
compliment,"Being around you makes everything better."
compliment,"It's as if you never learned to be bitter."
compliment,"You are the reason I am smiling today."
compliment,"You are making a difference."
compliment,"You're more fun than bubble wrap."
compliment,"How is it that you always look so great, even if you're in ratty pajamas?"
compliment,"You're a smart cookie."
compliment,"You are beautiful inside and out."
compliment,"How did you learn to be so good?"
compliment,"Has anyone ever told you that you have great posture?"
compliment,"When we're both onlne, everything seems possible."
compliment,"You just light up the room."
compliment,"You inspire me to be a better person."
compliment,"You're a great example to others."
compliment,"You seem to really know who you are."
compliment,"Colors seem brighter when you're around."
compliment,"When you say, ""I meant to do that,"" I totally believe you."
compliment,"Your laugh is my favorite sound."
compliment,"You make a bigger impact than you realize."
compliment,"I love the way you bring out the best in people."
compliment,"Your very presence is reassuring"
compliment,"You have amazing creative potential."
compliment,"Around you, I'm the best possible version of myself."
compliment,"I love the way you make me think."
compliment,"The way you live your life challenges me and has helped me grow."
compliment,"You are just beyond."
compliment,"Being around you is like a happy little vacation."
compliment,"Knowing you makes me a happier person."
compliment,"You've got an awesome sense of humor!"
compliment,"The way you treasure your loved ones is incredible."
compliment,"You make me forget the bad parts of my day."
compliment,"You're irresistible when you blush."
compliment,"Your kindness is a balm to all who encounter it."
compliment,"You're so thoughtful."
compliment,"You're wonderful."
compliment,"You bring out the best in other people."
compliment,"The very idea of you makes me smile inside."
compliment,"You make my insides jump around in the best way."
compliment,"Your capacity for kindness is boundless."
compliment,"You're someone's reason to smile."
compliment,"You're one of a kind."
compliment,"You have cute elbows. For real."
compliment,"You make me see the world in a way no one else ever has."
compliment,"You are really kind to people around you."
compliment,"You just made my day."
compliment,"I love how precious and child-like you can be sometimes. You make me feel young again."
compliment,"You make me float up like I'm on millions of bubbles."
compliment,"Babies and small animals probably love you."
compliment,"Within seconds of talking to you, I feel better."
compliment,"Your quirks are so you - and I love that."
compliment,"You have the best laugh."
compliment,"I bet you sweat glitter."
compliment,"You're always learning new things and trying to better yourself. That's awesome."
compliment,"You are brave."
compliment,"You always know - and say - exactly what I need to hear when I need to hear it."
compliment,"Some people are radiators - they make you feel warm when you're around them."
compliment,"If you died or something happened to you, I would delete your browser history for you."
compliment,"You're like a ray of sunshine on a really dreary day."
compliment,"You look great today."
compliment,"Who raised you? They deserve a medal for a job well done."
compliment,"I didn't know how important friendship was until we met."
compliment,"You always find something special in the most ordinary things."
compliment,"Is there a day you haven't made better?"
compliment,"You're more fun than a ball pit filled with candy."
compliment,"You're a gift to everyone you meet."
compliment,"You make me feel whole."
compliment,"Everything seems brighter when you are around."
compliment,"You are so trustworthy; I always believe what you say."
compliment,"Your creative potential seems limitless."
compliment,"Actions speak louder than words, and yours tell an incredible story."
compliment,"I enjoy spending time with you."
compliment,"Your inside is even more beautiful than your outside."
compliment,"That color looks perfect on you."
compliment,"Your energy is infectious."
compliment,"I know that if you ever make a mistake, you fix it."
compliment,"You're my favorite person to talk to. I never get tired of hearing your voice, your stories. I always want more."
compliment,"I think you're the only person I could ever talk about this with openly."
compliment,"You give me the kind of advice I always need to hear."
compliment,"You deserve a hug right now."
compliment,"You have such a generous spirt."
compliment,"When I'm down you always say something encouraging to help me feel better."
compliment,"I tell everyone how amazing you are."
compliment,"The people you love are lucky to have you in their lives."
compliment,"Are you for real?"
compliment,"Your voice is magnificent."
compliment,"I love how weird you are."
compliment,"If you were a box of crayons, you'd be the big industrial name-brand one with a built-in sharpener."
compliment,"You have the best smile."
compliment,"In high school I bet you were voted ""most likely to keep being awesome."""
compliment,"You were cool way before hipsters were cool."
compliment,"You impress me every single day."
compliment,"Somehow you make time stop and fly all at the same time."
compliment,"You're really good at all the things you do. And even the things you think you don't do so well, I like how you do it anyway, without caring what anyone thinks."
compliment,"I don't want to be anywhere you can't be."
compliment,"Everything would be better if more people were like you."
compliment,"When you say you will do something, I trust you."
compliment,"You have a great sense of humor."
compliment,"You are a great example to others."
compliment,"Even the things you don't like about yourself make you interesting."
compliment,"Our community is better because you're in it."
compliment,"When you're around, I don't need anything else."
compliment,"You are one of the strongest people I know."
compliment,"You just glow."
compliment,"You are the most perfect you there is."
compliment,"Your existence makes me feel better about life."
compliment,"You always know just what to say."
compliment,"Whenever I have a tough day, I remember you and it gives me strength and hope."
compliment,"You have such a good heart."
compliment,"You're great at figuring stuff out."
compliment,"I love your little pinky toes."
compliment,"You always know how to find that silver lining."
compliment,"There's ordinary, and then there's you."
compliment,"I had no idea what life could be until we met."
compliment,"Please never stop being you."
compliment,"You are always so helpful."
compliment,"I like the way you are."
compliment,"You have great bushy eyebrows."
compliment,"You smell really good."
compliment,"That thing you don't like about yourself is what makes you so interesting."
compliment,"You're even more beautiful on the inside than you are on the outside."
compliment,"You're my reason."
compliment,"That thing where you know when someone needs something? That's amazing."
compliment,"Your presence is so healing."
compliment,"I'm inspired by you."
compliment,"No one else can make me laugh like you do."
compliment,"You really seem to know who you are. I admire that."
compliment,"I am a better person because of you."
compliment,"Mating with you would be a smart evolutionary play."
compliment,"I can't stop thinking about you."
compliment,"Thank you for being you."
compliment,"You've shown me how to be kinder person."
compliment,"When you make up your mind, nothing stands in your way."
compliment,"I will never forget the way you make me feel."
compliment,"You inspire me."
compliment,"I've never met a person quite like you."
compliment,"You are truly unforgettable."
compliment,"Your perspective is refreshing."
compliment,"I wish I were half the human you are."
compliment,"You make monogamy seem easy."
compliment,"On a scale from 1 to 10, you're an 11."
compliment,"You make me believe in goodness."
compliment,"I can't quite fathom a world with you."
compliment,"Hanging out with you is always fun."
compliment,"You help me be the best version of myself."
compliment,"I like you so much it hurts."
compliment,"You may dance like no one's watching, but everyone's watching because you're mesmerizing."
compliment,"I bet you make babies smile."
compliment,"You're the light of my life."
compliment,"Your hair looks stunning."
compliment,"Everyone gets knocked down sometimes, but you always get back up and keep going."
compliment,"I'm grateful to know you."
compliment,"Nothing can stop you."
compliment,"You're like a breath of fresh air."
compliment,"If you were a scented candle they'd call it Perfectly Imperfect (and it would smell like summer)."
