id,pb,pb_location,bp_mob,bp_lvl,bp_location,type,slot,line,ql,itemid
1,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Artillery,Ocular,Active,170,219135
2,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Infantry,Thigh,Active,170,235792
3,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Infantry,Feet,Surviving,150,235825
4,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Infantry,Feet,Working,160,235826
5,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Infantry,Feet,Active,170,235827
6,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Extermination,Ocular,Surviving,150,235842
7,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Artillery,"Left Hand",Operative,110,235586
8,"Aesma Daeva","Inferno Frontier","Ithaki & Spetses",220,"Incarnator QL 255",Infantry,"Left Arm",Vital,260,235711
9,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Artillery,Feet,Excited,250,235612
10,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Control,Ocular,Cognizant,270,236297
11,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Control,Brain,Excited,250,236312
12,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Control,Brain,Cognizant,270,236313
13,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Support,Thigh,Excited,250,236250
14,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Artillery,"Left Arm",Awakened,180,235487
15,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Infantry,Ocular,Living,210,235625
16,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,"Right Arm",Awakened,180,236117
17,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,"Right Arm",Enduring,190,236118
18,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,"Right Arm",Living,210,236119
19,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,Chest,Awakened,180,236136
20,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,"Left Arm",Awakened,180,236157
21,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Artillery,"Right Hand",Vigorous,230,235559
22,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Infantry,"Left Hand",Enduring,190,235810
23,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Infantry,"Left Hand",Vigorous,230,235812
24,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Artillery,Brain,Growing,200,235417
25,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Infantry,"Left Hand",Growing,200,235811
26,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Infantry,Feet,Enduring,190,235828
27,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Extermination,Ocular,Growing,200,235844
28,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Artillery,Ear,Vital,260,235438
29,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Artillery,"Right Hand",Effective,240,235560
30,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Artillery,"Left Hand",Effective,240,235592
31,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Extermination,Waist,Effective,240,235964
32,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Extermination,Waist,Excited,250,235965
33,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Extermination,Waist,Vital,260,235966
34,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Extermination,Chest,Vital,260,235916
35,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Artillery,Waist,Vibrating,90,235516
36,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,"Right Arm",Residing,130,236342
37,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,Chest,Operative,110,236357
38,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,Chest,Running,140,236358
39,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,Chest,Surviving,150,236359
40,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,"Right Arm",Breathing,100,236341
41,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Extermination,Feet,Operative,110,236048
42,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Support,"Right Arm",Breathing,100,236113
43,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Artillery,"Right Arm",Breathing,100,235450
44,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Infantry,Brain,Vibrating,90,235638
45,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Extermination,Feet,Vibrating,90,236047
46,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Support,Ocular,Breathing,100,236065
47,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Extermination,Feet,Residing,130,236049
48,"Ats (Ats`usk)",Inferno,"Isham, Spinetooths, Marsh Lizards",220,"Oasis - Inferno Frontier",Infantry,"Right Wrist",Vital,260,235726
49,Auger,"Scheol Lower","Spiders around",125,"Tree of Memories",Artillery,Brain,Residing,130,235414
50,Auger,"Scheol Lower","Spiders around",125,"Tree of Memories",Extermination,"Right Arm",Prevailing,120,235892
51,Auger,"Scheol Lower","Spiders around",125,"Tree of Memories",Extermination,"Right Arm",Surviving,150,235893
52,Auger,"Scheol Lower","Spiders around",125,"Tree of Memories",Extermination,Chest,Residing,130,235909
53,Auger,"Scheol Lower","Spiders around",125,"Tree of Memories",Artillery,Feet,Vibrating,90,235604
54,Auger,"Scheol Lower","Spiders around",125,"Tree of Memories",Extermination,Chest,Active,170,235911
55,Awl,"Scheol Lower","Green named Spiders",125,"Tree of Memories (W)",Artillery,Brain,Running,140,235415
56,Awl,"Scheol Lower","Green named Spiders",125,"Tree of Memories (W)",Artillery,Feet,Residing,130,235605
57,Awl,"Scheol Lower","Green named Spiders",125,"Tree of Memories (W)",Extermination,Chest,Running,140,235910
58,Awl,"Scheol Lower","Green named Spiders",125,"Tree of Memories (W)",Extermination,Chest,Active,170,235911
59,Awl,"Scheol Lower","Green named Spiders",125,"Tree of Memories (W)",Extermination,"Left Arm",Prevailing,120,235927
60,Awl,"Scheol Lower","Green named Spiders",125,"Tree of Memories (W)",Extermination,"Left Arm",Working,160,235928
61,Awl,"Scheol Lower","Green named Spiders",125,"Tree of Memories (W)",Extermination,"Left Arm",Active,170,235929
62,Bagaspati,"Penumbra Valley","Named Rafter/Cat/Vadleany",185,"NW from Incarnator",Artillery,"Right Arm",Enduring,190,235455
63,Bagaspati,"Penumbra Valley","Named Rafter/Cat/Vadleany",185,"NW from Incarnator",Extermination,"Right Wrist",Vigorous,230,235950
64,Bagaspati,"Penumbra Valley","Named Rafter/Cat/Vadleany",185,"NW from Incarnator",Extermination,Waist,Vigorous,230,235963
65,Bagaspati,"Penumbra Valley","Named Rafter/Cat/Vadleany",185,"NW from Incarnator",Extermination,"Right Hand",Enduring,190,236000
66,Bagaspati,"Penumbra Valley","Named Rafter/Cat/Vadleany",185,"NW from Incarnator",Artillery,Thigh,Vigorous,230,235574
67,Bagaspati,"Penumbra Valley","Named Rafter/Cat/Vadleany",185,"NW from Incarnator",Artillery,"Left Hand",Persisting,220,235591
68,Bagaspati,"Penumbra Valley","Named Rafter/Cat/Vadleany",185,"NW from Incarnator",Extermination,Ear,Vigorous,230,235880
69,"Beatific Spirit","Scheol Lower","Spirit Hunters",125,Necropolis,Artillery,Ear,Running,140,235434
70,"Beatific Spirit","Scheol Lower","Spirit Hunters",125,Necropolis,Artillery,Feet,Active,170,235607
71,"Beatific Spirit","Scheol Lower","Spirit Hunters",125,Necropolis,Extermination,Waist,Active,170,235962
72,"Beatific Spirit","Scheol Lower","Spirit Hunters",125,Necropolis,Extermination,"Left Wrist",Residing,130,235978
73,"Beatific Spirit","Scheol Lower","Spirit Hunters",125,Necropolis,Extermination,"Left Wrist",Active,170,235979
74,"Beatific Spirit","Scheol Lower","Spirit Hunters",125,Necropolis,Extermination,"Right Hand",Prevailing,120,235995
75,"Beatific Spirit","Scheol Lower","Spirit Hunters",125,Necropolis,Extermination,"Right Hand",Running,140,235997
76,"Beatific Spirit","Scheol Lower","Spirit Hunters",125,Necropolis,Extermination,"Left Wrist",Prevailing,120,235977
77,"Bellowing Chimera","Scheol Upper","Named Chimeras",125,"North from East Incarnator",Artillery,"Right Wrist",Residing,130,235501
78,"Bellowing Chimera","Scheol Upper","Named Chimeras",125,"North from East Incarnator",Artillery,"Right Wrist",Surviving,150,235503
79,"Bellowing Chimera","Scheol Upper","Named Chimeras",125,"North from East Incarnator",Infantry,"Right Arm",Residing,130,235671
80,"Bellowing Chimera","Scheol Upper","Named Chimeras",125,"North from East Incarnator",Control,Ear,Running,140,236322
81,"Bellowing Chimera","Scheol Upper","Named Chimeras",125,"North from East Incarnator",Control,Ear,Surviving,150,236323
82,"Bellowing Chimera","Scheol Upper","Named Chimeras",125,"North from East Incarnator",Control,Ear,Working,160,236324
83,"Bellowing Chimera","Scheol Upper","Named Chimeras",125,"North from East Incarnator",Control,Ear,Active,170,236325
84,"Bellowing Chimera","Scheol Upper","Named Chimeras",125,"North from East Incarnator",Control,"Right Arm",Vibrating,90,236340
85,"Bhinaji Navi","Scheol Lower","Chimeran Canine, Ercorash and Named(4)",125,"Through Earth & Stone Pyramid",Support,Waist,Surviving,150,236196
86,"Bhinaji Navi","Scheol Lower","Chimeran Canine, Ercorash and Named(4)",125,"Through Earth & Stone Pyramid",Support,Waist,Prevailing,120,236194
87,"Bhinaji Navi","Scheol Lower","Chimeran Canine, Ercorash and Named(4)",125,"Through Earth & Stone Pyramid",Support,"Left Wrist",Vibrating,90,236209
88,"Bhinaji Navi","Scheol Lower","Chimeran Canine, Ercorash and Named(4)",125,"Through Earth & Stone Pyramid",Infantry,Ear,Residing,130,235654
89,"Bhinaji Navi","Scheol Lower","Chimeran Canine, Ercorash and Named(4)",125,"Through Earth & Stone Pyramid",Support,Waist,Residing,130,236195
90,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Artillery,Ocular,Animated,70,219130
91,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Artillery,Ocular,Breathing,100,219132
92,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Artillery,"Right Arm",Moving,80,235449
93,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Infantry,Ocular,Animated,70,235621
94,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Infantry,"Right Wrist",Animated,70,235719
95,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Infantry,"Right Wrist",Moving,80,235720
96,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Infantry,Waist,Lulled,60,235734
97,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Infantry,Waist,Animated,70,235735
98,"Black Fang","Central Elysium","Named Predators (4): Limping, Howling, Pained, Wounded",80,"Shattered Heartlands (SE from Nero)",Infantry,"Left Wrist",Lulled,60,235752
99,Blight,"Scheol Lower","Mephitic Mynx",125,"Necropolis (Ergo)",Artillery,"Right Hand",Working,160,235555
100,Blight,"Scheol Lower","Mephitic Mynx",125,"Necropolis (Ergo)",Infantry,Brain,Running,140,235641
101,Blight,"Scheol Lower","Mephitic Mynx",125,"Necropolis (Ergo)",Support,"Right Arm",Prevailing,120,236114
102,Blight,"Scheol Lower","Mephitic Mynx",125,"Necropolis (Ergo)",Support,"Right Arm",Breathing,100,236113
103,Blight,"Scheol Lower","Mephitic Mynx",125,"Necropolis (Ergo)",Support,"Right Arm",Active,170,236116
104,Blight,"Scheol Lower","Mephitic Mynx",125,"Necropolis (Ergo)",Support,"Right Arm",Working,160,236115
105,Blight,"Scheol Lower","Mephitic Mynx",125,"Necropolis (Ergo)",Support,Ear,Working,160,236103
106,Borer,"Scheol Upper",Weavers/Spiders,125,"The Eastern Passageway/Crystal River",Artillery,Ear,Residing,130,235433
107,Borer,"Scheol Upper",Weavers/Spiders,125,"The Eastern Passageway/Crystal River",Extermination,"Right Wrist",Prevailing,120,235947
108,Borer,"Scheol Upper",Weavers/Spiders,125,"The Eastern Passageway/Crystal River",Extermination,Waist,Prevailing,120,235960
109,Borer,"Scheol Upper",Weavers/Spiders,125,"The Eastern Passageway/Crystal River",Extermination,Waist,Surviving,150,235961
110,Borer,"Scheol Upper",Weavers/Spiders,125,"The Eastern Passageway/Crystal River",Extermination,"Right Wrist",Active,170,235949
111,Borer,"Scheol Upper",Weavers/Spiders,125,"The Eastern Passageway/Crystal River",Extermination,"Right Wrist",Working,160,235948
112,Borer,"Scheol Upper",Weavers/Spiders,125,"The Eastern Passageway/Crystal River",Artillery,Feet,Working,160,235606
113,"Breaker Teuvo","Penumbra Forest","Named Hiisi Steed: Shadowmane",175,"North from West Incarnator",Artillery,Feet,Enduring,190,235608
114,"Breaker Teuvo","Penumbra Forest","Named Hiisi Steed: Shadowmane",175,"North from West Incarnator",Extermination,"Right Hand",Living,210,236001
115,"Breaker Teuvo","Penumbra Forest","Named Hiisi Steed: Shadowmane",175,"North from West Incarnator",Extermination,"Right Hand",Persisting,220,236002
116,"Breaker Teuvo","Penumbra Forest","Named Hiisi Steed: Shadowmane",175,"North from West Incarnator",Extermination,Thigh,Awakened,180,236018
117,"Breaker Teuvo","Penumbra Forest","Named Hiisi Steed: Shadowmane",175,"North from West Incarnator",Extermination,Thigh,Growing,200,236019
118,"Breaker Teuvo","Penumbra Forest","Named Hiisi Steed: Shadowmane",175,"North from West Incarnator",Extermination,"Left Hand",Awakened,180,236033
119,"Breaker Teuvo","Penumbra Forest","Named Hiisi Steed: Shadowmane",175,"North from West Incarnator",Artillery,"Right Arm",Persisting,220,235456
120,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Artillery,"Right Arm",Awakened,180,235454
121,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Artillery,"Right Arm",Enduring,190,235455
122,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Artillery,"Left Hand",Persisting,220,235591
123,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Extermination,"Left Wrist",Awakened,180,235980
124,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Extermination,Chest,Growing,200,235913
125,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Extermination,Chest,Persisting,220,235914
126,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Extermination,"Left Arm",Enduring,190,235931
127,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Extermination,"Left Wrist",Enduring,190,235981
128,"Brutal Rafter","Penumbra Valley","Named Rafter/Cat/Vadleany",175,"NW from Incarnator",Extermination,"Left Wrist",Growing,200,235982
129,"Brutal Soul Dredge","East Elysium","Spirit Soul Dredge",85,"Linger Echo",Artillery,Ear,Moving,80,235430
130,"Brutal Soul Dredge","East Elysium","Spirit Soul Dredge",85,"Linger Echo",Extermination,Ear,Moving,80,235872
131,"Brutal Soul Dredge","East Elysium","Spirit Soul Dredge",85,"Linger Echo",Extermination,Ear,Vibrating,90,235873
132,"Brutal Soul Dredge","East Elysium","Spirit Soul Dredge",85,"Linger Echo",Extermination,"Right Arm",Animated,70,235891
133,"Brutal Soul Dredge","East Elysium","Spirit Soul Dredge",85,"Linger Echo",Extermination,Chest,Breathing,100,235907
134,"Brutal Soul Dredge","East Elysium","Spirit Soul Dredge",85,"Linger Echo",Artillery,"Right Wrist",Animated,70,235499
135,"Brutal Soul Dredge","East Elysium","Spirit Soul Dredge",85,"Linger Echo",Extermination,Brain,Breathing,100,235856
136,"Captured Spirit",Inferno,"Spirit Hunters/Ashen Viper",220,"Burning Marshes NW",Infantry,Waist,Living,210,235741
137,"Careening Blight",Nascense,"Named Weaver Boss",45,"North of Brawl",Extermination,Ocular,Lulled,60,235839
138,"Careening Blight",Nascense,"Named Weaver Boss",45,"North of Brawl",Extermination,Chest,Lulled,60,235906
139,"Careening Blight",Nascense,"Named Weaver Boss",45,"North of Brawl",Extermination,Ear,Lulled,60,235871
140,"Careening Blight",Nascense,"Named Weaver Boss",45,"North of Brawl",Extermination,"Left Arm",Lulled,60,235924
141,"Careening Blight",Nascense,"Named Weaver Boss",45,"North of Brawl",Artillery,Ear,Sluggish,40,235428
142,"Careening Blight",Nascense,"Named Weaver Boss",45,"North of Brawl",Infantry,Feet,Lulled,60,235820
143,"Careening Death",Nascense,"Named Weaver Boss",45,"North of Brawl",Artillery,"Right Arm",Sluggish,40,235445
144,"Careening Death",Nascense,"Named Weaver Boss",45,"North of Brawl",Extermination,Feet,Sluggish,40,236044
145,"Careening Death",Nascense,"Named Weaver Boss",45,"North of Brawl",Extermination,"Right Hand",Sleeping,30,235991
146,Churn,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Infantry,"Right Arm",Vigorous,230,235677
147,Churn,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Infantry,"Right Arm",Effective,240,235678
148,Churn,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,"Left Arm",Persisting,220,236378
149,Churn,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,"Left Arm",Effective,240,236380
150,Churn,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,"Right Wrist",Persisting,220,236397
151,Churn,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,"Right Wrist",Vigorous,230,236398
152,Churn,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Artillery,"Left Wrist",Vigorous,230,235540
153,Circumbendibus,Elysium,"Brutish Dryad",80,"Southmire (SW Swamps)",Artillery,"Right Arm",Lulled,60,235447
154,Circumbendibus,Elysium,"Brutish Dryad",80,"Southmire (SW Swamps)",Infantry,"Right Arm",Moving,80,235667
155,Circumbendibus,Elysium,"Brutish Dryad",80,"Southmire (SW Swamps)",Infantry,Chest,Moving,80,235686
156,Circumbendibus,Elysium,"Brutish Dryad",80,"Southmire (SW Swamps)",Infantry,"Right Wrist",Lulled,60,235718
157,Circumbendibus,Elysium,"Brutish Dryad",80,"Southmire (SW Swamps)",Artillery,Ocular,Vibrating,90,219131
158,Circumbendibus,Elysium,"Brutish Dryad",80,"Southmire (SW Swamps)",Infantry,"Left Arm",Moving,80,235704
159,Circumbendibus,Elysium,"Brutish Dryad",80,"Southmire (SW Swamps)",Infantry,"Left Arm",Animated,70,235703
160,"Contorted Soul Dredge","Scheol Lower","Soul Dredges",125,Necropolis,Artillery,Chest,Running,140,235467
161,"Contorted Soul Dredge","Scheol Lower","Soul Dredges",125,Necropolis,Artillery,Waist,Operative,110,235517
162,"Contorted Soul Dredge","Scheol Lower","Soul Dredges",125,Necropolis,Infantry,Ear,Breathing,100,235653
163,"Contorted Soul Dredge","Scheol Lower","Soul Dredges",125,Necropolis,Support,"Right Wrist",Operative,110,236175
164,"Contorted Soul Dredge","Scheol Lower","Soul Dredges",125,Necropolis,Support,"Right Wrist",Running,140,236176
165,"Contorted Soul Dredge","Scheol Lower","Soul Dredges",125,Necropolis,Support,"Right Wrist",Active,170,236178
166,"Contorted Soul Dredge","Scheol Lower","Soul Dredges",125,Necropolis,Support,Waist,Breathing,100,236192
167,"Contorted Soul Dredge","Scheol Lower","Soul Dredges",125,Necropolis,Support,Waist,Operative,110,236193
168,"Defiler of Scheol","Scheol Lower","Greek Named Brink Mobs",220,"Halls of Scheol - Eastern",Artillery,Ocular,Vigorous,230,219137
169,"Devourer of Scheol","Scheol Lower","",205,"Eastern Micro Islands",Artillery,Ocular,Enduring,190,219136
170,"Devourer of Scheol","Scheol Lower","",205,"Eastern Micro Islands",Artillery,Ear,Cognizant,270,235439
171,"Devourer of Scheol","Scheol Lower","",205,"Eastern Micro Islands",Infantry,Brain,Alert,280,235644
172,"Devourer of Scheol","Scheol Lower","",205,"Eastern Micro Islands",Infantry,Ear,Alert,280,235662
173,"Eidolean Soul Dredge","Penumbra Forest","Exiguous&Maeger Spirit",180,"Corpse Sucker Cave NW",Infantry,"Left Wrist",Awakened,180,235759
174,Exsequiae,Inferno,"Bigot Helozabasael",220,"North from Sorrow",Infantry,"Left Wrist",Effective,240,235761
175,"Fester Leila",Inferno,"Distracted Snake Tamer, Beast, Estella Fire Dryad - Vortexoid / Snakes / Dryad's",220,"East from QL 225 Incarnator",Artillery,"Left Hand",Cognizant,270,235595
176,"Fester Leila",Inferno,"Distracted Snake Tamer, Beast, Estella Fire Dryad - Vortexoid / Snakes / Dryad's",220,"East from QL 225 Incarnator",Support,"Left Arm",Cognizant,270,236162
177,"Fester Leila",Inferno,"Distracted Snake Tamer, Beast, Estella Fire Dryad - Vortexoid / Snakes / Dryad's",220,"East from QL 225 Incarnator",Support,"Right Wrist",Vital,260,236182
178,"Fester Leila",Inferno,"Distracted Snake Tamer, Beast, Estella Fire Dryad - Vortexoid / Snakes / Dryad's",220,"East from QL 225 Incarnator",Support,"Left Wrist",Cognizant,270,236217
179,"Fester Leila",Inferno,"Distracted Snake Tamer, Beast, Estella Fire Dryad - Vortexoid / Snakes / Dryad's",220,"East from QL 225 Incarnator",Support,"Right Hand",Vital,260,236233
180,"Fester Leila",Inferno,"Distracted Snake Tamer, Beast, Estella Fire Dryad - Vortexoid / Snakes / Dryad's",220,"East from QL 225 Incarnator",Support,"Right Hand",Cognizant,270,236234
181,Flinty,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,Thigh,Residing,130,236243
182,Flinty,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,"Left Hand",Breathing,100,236259
183,Flinty,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,"Left Hand",Operative,110,236260
184,Flinty,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,"Left Hand",Prevailing,120,236261
185,Flinty,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,Thigh,Active,170,236244
186,Glitter,"Penumbra Forest","Chimeras: Sleet/Floe, Rafters: Snappy/Hefty/River/Frosty",188,"Blue Mist - SW Lake in Forest",Infantry,"Left Wrist",Growing,200,235760
187,"Gracious Soul Dredge","Scheol Lower","Soul Dredges",115,Necropolis,Artillery,Ocular,Running,140,219133
188,"Gracious Soul Dredge","Scheol Lower","Soul Dredges",115,Necropolis,Infantry,"Right Hand",Running,140,235773
189,"Gracious Soul Dredge","Scheol Lower","Soul Dredges",115,Necropolis,Infantry,"Right Hand",Working,160,235774
