id,name,answer,keywords,playfield_id,xcoord,ycoord
1,12-man,Xan,"12m 12man",6013,418,324
2,"4 Holes","in the west central part of the world. It has whompas at 1200 x 1225 to 2ho, 20k, and Broken Shores. North of 4holes is Stret West Bank, south is Andromeda, east Stret East Bank, no zone avail to the west.","Four Holes Fourholes 4ho",760,893,1754
3,"A Dancing Fool","Baboons (located in Omni Entertainment)",,705,766,766
4,"A Face In The Sand",Aegean,,585,1400,2750
5,"A Spoiled Brat","in a park in Omni-Ent",,705,946,350
6,"Abandoned Hope","The Reck","abandoned hope",750,2009,182
7,"Abmouth Supremus","in the lower levels of the Subway Dungeon at the very end. He spawns two infectors when attacked.","abby",0,0,0
8,"Abmouth Supremus (raid)","in the lower levels of the Subway Dungeon at the very end.","abby",0,0,0
9,"Ace Camp","Eastern Fouls Plain",Primus,620,720,1380
10,"Acidic Prisoner","Milky Way, near 6R","acidic prisoner",625,1433,1753
11,Aegean,"in the northeast part of the world. No grid access point and no whompa. East of Aegean is Varmint Woods, to the west is Athen Shire, southeast is Upper Stret East Bank, southwest Wartorn Valley and Stret West Bank, no zone available to the north.","Aegean Aegan Aegean Aegeon Aegon Agean Ageon",585,0,0
12,"Afreet Ellis","Inferno, NE of Frontier Garden",,4605,2560,2910
13,Ahomac,"Inferno, Fronter",,4605,2745,2341
14,"Akshk'i","Inferno, South of Frontier",Akshki,4605,2294,2253
15,Alappaa,"Northeast of Blue Mist.",,4320,1201,503
16,Albtraum,"Inferno, Burning Mashes",,4005,1135,756
17,"Algid Slither","Adonis, Abyss N",,4873,1510,3320
18,"Alpha Skincrawler","Crypt of Home, Broken Shores",,0,0,0
19,"Alvin Odeleder","Lush Fields Outpost",Alvinodeleder,695,1538,2500
20,"Anansi Devotee","East of Sorrow In Inferno",,4605,1650,1400
21,"Anansi Disciple","Burning Mashes",,4005,942,697
22,"Anansi Dreamkeeper","Burning Mashes",,4005,942,697
23,"Anansi Gopher","Burning Mashes, on the ramp",,4005,860,719
24,"Anansi Orator","North West from the Petrified Hecklers",,4005,945,1350
25,"Anansi Protector","East of Sorrow In Inferno",,4605,1650,1400
26,"Anansi Scribe","East of Sorrow In Inferno",,4605,1650,1400
27,"Anansi Speaker","North West from the Petrified Hecklers",,4005,945,1350
28,"Anansi Storyteller","North West from the Petrified Hecklers",,4005,945,1350
29,"Anansi Zealot","Burning Mashes",,4005,942,697
30,"Anansi's Abettor","Inferno, Far SW of Sorrow",,4005,590,422
31,"Anansi's Disciple",Inferno,,4605,3381,2694
32,"Anansi's Favorite","Inferno, just NE of Frontier",,4605,2719,2656
33,"Anansi's Left Hand","South West of Oasis, East of Sorrow in Inferno. Calmer recommended.",,4005,1939,1760
34,"Anansi's Right Hand","Inferno, East of Sorrow",,4005,1914,1603
35,"Ancient Tombstone","North of Yutto's Mashes, surrounded by spirits",,4005,2327,1390
36,"Andrea Machioni","Inside the War Academy",,550,1695,1956
37,Andromeda,"in the southwest part of the world. Whompas to Tir, Newland, and Omni Trade. To the north (east) of Andromeda is 4 Holes, to the north (west) is Stret East Bank. To the east is Milky Way, south (east) is Lush Fields, south Clondyke. No zone avail to the west.","655 Andromada Andromedia Andromida Icc",655,3250,900
38,"Angel's Trumpet","Clondyke (seems to be in multiple locations nearby)","Bronto Datura Inoxia",670,2359,3656
39,"Aniitap's Shadow","Inferno, North of Frontier",,4605,2416,3238
40,Aniitap,Inferno,"",4605,2453,3357
41,"Another Face In The Sand",Mort,,560,1300,2650
42,"Anticipating Six","Northeast of Blue Mist.",,4320,1201,503
43,"Apprentice Beasthandler","Inferno, 255 Incarnator",,4605,3325,3134
44,Aquarius,"Pandemonium, East Node",,0,0,0
45,"Architect Striker","in the Subway Dungeon, usually on the bridge.",,0,0,0
46,"Area Y","beyond Galway View next to Arthers Pass",,0,0,0
47,"Arid Rift","","",6013,257,635
48,Aries,"Pandemonium, West Node",,0,0,0
49,Asanon,"Inferno, Fronter",,4605,2785,2385
50,"Asase's Drudge","","",4005,632,297
51,"Asperous Imp","Elysium, Near Ergo",,0,0,0
52,"Assault Commander Pax","Southern Artillery Valley near Fixer Grid 7M","dreadlochs dreads",610,2047,645
53,"Assault Commander Sleek","In the War Academy in Athen Shire. Closest Fixer grid is Athen","dreadlochs dread dreads",550,1720,1911
54,Astypalia,"Inferno, West of Razors Lair",,4605,1777,2715
55,Atakirh,"Inferno, South of Frontier",,4605,1961,2451
56,"Athen Old","in the NW part of the world. It has a whompa to Tir, Wailing Wastes and Bliss at 445 x 318. Out the east gate is Wartorn Valley and out west gate is West Athen",,540,512,573
57,"Athen Shire","in the NW part of the world. It has no grid access or whompa. To the north is Wailing Wastes, to the east is Wartorn Valley and Aegean, to the west is The Longest Road, to the south is Holes in the Wall. The War Academy at 1740 x 1970.","Athen Shir Shire Shite Shrine Sire Athens Athenshire",550,0,0
58,"Athen West","in the NW part of the world. It has no whompa. To the north, south and west is Athen Shire, to the east Athen Old.","Athen West Athens Athenwest Old Weat Grid",545,472,410
59,Athlar,"Elysium, inside mountains SW and NW",,0,0,0
60,"Augmented Cyborg Hellfury","Cyborg Barracks Greater Tir County",,647,3232,2340
61,Avalon,"in the north west part of the world. It has a whompa to Athens and Wailing Wastes at 2175x3815. There is no zone available to the north, east and west. Southeast is Wailing Wastes. camelot castle (dungeon) at 2090 x 3820. clan op with scanner at 1540 x 3730 and 2140 x 3110. Omni outposts with scanner at 800 x 1630 and at 1870 x 1230.","Avalon Avolon Omni Outpost",505,2070,3760
62,"Aztur The Immortal","Temple Of The Three Winds, Greater Tir County. You need to kill Uklesh the Frozen and Khalum before he spawns.",Azzy,647,0,0
63,Baboons,"Omni Entertainment",,705,766,766
64,"Bahirae Serugiusu","Omni Trade",Token,710,411,394
65,Bane,"Crypt of Home, Broken Shores",,0,0,0
66,"Beast 215","","",4605,3497,2063
67,"Beer And Booze Bar","Mort, in the city called Hope. The bar has a 5% suppression gas.","Beer &amp; Booze And Bar N",566,2840,1920
68,"Belial Forest","in the SE part of the world. No grid access. Whompas in Wine lead to Broken Shores and Varmint Woods at 2150 x 2319. To the north of Belial Forest is Deep Artery Valley, south is Eastern Foul Plains, west is S.Artery Valley and Milky Way is south and southwest. No zone to east.","Belial Forrest Belialforest",605,2150,2319
69,"Bending Eremite","Elysium, Sand dunes near Cold Rock",,0,0,0
70,"Best In Brass","Galway Shire, Rome Stretch","Bestinbrass Brast",687,400,750
71,"Bia's Favorite",Inferno,"",4605,2764,2655
72,"Bigot Helozabasael",Inferno,"",4005,1482,2274
73,"Bigot Inmodeah",Inferno,"",4005,696,1151
74,"Bigot Laniheanheh",Inferno,"",4005,1339,2480
75,"Bigot Nzaemihiel",Inferno,"",4005,749,1184
76,"Bigot Pohihanepael",Inferno,"",4605,3237,3210
77,Bigot,"Inferno, SW of Sorrow, N of Sorrow, 255 Inc",,0,0,0
78,Biomare,"The Longest Road. Recommended for teams of lvl 40-70. Look for a door that says Foreman above the doorway.","Biological Materials Research Omni-Med Bio Facility Foremans Office",795,1930,775
79,Black,"Adonis, Abyss N",,4873,1644,2237
80,Bliss,"The Longest Road. Bliss has shops, clan insure terms, banks and mission terms. Bliss has whompas to Athen Old, Avalon, and Broken Shores",,795,3700,1615
81,"Bold Eremite","Inferno, southeast of Sorrow (straight south of Anansi Devotee's) around",,4605,1650,1150
82,Bonzo,"at the Beer and Booze Bar, Mort",,560,2835,1930
83,"Borealis Grid","","bor grid",800,636,728
84,Borealis,"in the central-west part of the world. Whompa to Stret West Bank at 682 x 531. Whompa to Newland right next to that. East of Borealis is Holes in the Wall. No zones currently available to the north, south, and west.","Bor Borealis Approach City Grid",800,635,727
85,"Brainy Ant Woods","Greater Tir County","Ants Biniary",647,1300,1500
86,"Brenda Diamond","at the ruins near Home in Broken Shores",,665,430,2200
87,"Brigadier Crux","South-East corner of Belian Forest. Closest Fixer grid is 8L","dreadlochs dread dreads",605,3185,502
88,"Brimstone Demon","East-North-East of Sorrow and spawns among the other demons.  Sometimes it's bugged and spawns inside the nearby mountain, petition to get them killed/moved out.",,4005,1650,1625
89,"Broken Shores","in the southwest corner of the world. It has a grid access point in City of Home. In the north is a Whompah at 1000 x 3760 to Bliss and to Wine. There is a Whompah to Rome Red and 4 Holes Trade at 2340 x 2250","Broken Shord Shore Shores Brokenshores Bs Grid",665,644,1313
90,"Brumal Slither"," Adonis, Abyss N",,4873,1440,3414
91,"Brutish Dryad","Elysium by Omni Shunpike exit 699 x 914 and 735 x 956, Utopolis and South Elysium",,4542,699,914
92,"Brutus Leonidis","Athen Shire",,550,1550,300
93,"Burning Prisoner","Milky Way","burning prisoner",625,371,724
94,"Cacophonous Imp","Elysium, Near Ergo",,0,0,0
95,"Calamity Eremite","Inferno SouthEast of Sorrow (South of Anansi Devotees), Area: Burning Marshes (south of the rock)",,4005,1685,1164
96,Camelot,"in the northwest part of the world, in the center of the city of Avalon and can be reached by whompa from Old Athens or Wailing Wastes.",,505,0,0
97,Cancer,"Pandemonium, East Node",,0,0,0
98,"Cantankerous Golem","Adonis, 2401 x 712 SE and 784 x 892 SW",,4872,2401,712
99,Capricorn,"Pandemonium, North Node",,0,0,0
100,"Captain Lewison","Reet retreat, Stret West Bank",,790,1206,2807
101,"Cardboard Palm",Clondyke,"Bronto Zamia Furfuracea",670,1684,1516
102,"Carillon Thunder","Upper Stret East Bank. North of Fixer Grid exit 7M","dreadlochs dreads dread",650,1799,2207
103,"Catervauling Minx","Elysium, Near Ergo & Fallen Forest",,0,0,0
104,"Cenobite Shadow","Crypt of Home, Broken Shores",,0,0,0
105,"Central Artery Valley","in the mideastern part of the world. No grid or whompa. North of Central Artery Valley is Varmint Woods, south is Southern Artery Valley, east is Deep Artery Valley, west is Upper Stret East Bank. NE corner is Greater Tir Cnty and SW corner is Stret East Bank.","Cav Base Central Art Valley Centralarteryvalley",590,0,0
106,"Cerubin The Rejected","Crypt of Home, Broken Shores",,0,0,0
107,"Chief Gunner Kyle Swan","The Longest Road, South-East of Fixer Grid exit 6M","dreadlochs dreads dread",795,3652,574
108,"Chilly Slither","Adonis, Abyss N",,4873,1465,3373
109,"Chimera Aberrant","around the +10 ring dungeon just inside Inf",,4005,1091,380
110,"Chimera Crusher","East of the Portal to Pen, around the +10 ring dungeon just inside Inf",,4005,1090,400
111,"Chimera Monitor","Inferno, West of Dark Marshes Unred Temple",,4005,1328,583
112,"Chimera Trainer","Inferno, West of Dark Marshes Unred Temple",,4005,1388,656
113,"City Administrator Rex Chapman","Omni-1 Entertainment near the billboards next to the Whompa to Rome",,705,905,522
114,"City Of Home","Broken Shores. It has shops, clan/neut insure terms, banks.","Cityofhome coh",665,735,1459
115,"Clan Modified A-4000","at Avalon","Clan Modified A 4000 a-4000 A4000",505,1105,2520
116,"Clan Modified A-4001","in Wailing Wastes","A-4001 A 4001 A4001",551,0,0
117,"Clan Trader Shop","Old Athens (SW of Grid - Finest Edition)","",540,370,500
118,"Clan Trader Shop","Tir (NW - Computers Inc)","",640,395,545
119,"Clawfinger Forefather","Smuggler's Den, Southern Fouls Hills","Claw Finger Forefather Clawfinger Fore Father",615,1749,869
120,Clondyke,"in the southwest part of the world. It has a grid access point at 1054 x 4023, no whompa. North of Clondyke is Andromeda, west is Galway County, east is Lush Fields. No zone avail to the south.","Clondike Coldyke Condyke Klondyke",670,0,0
121,"Coal Lizard","Misty Marshes NW from Dark Marshes",,4005,1635,1110
122,Coco,"next to the bar in 'The Cup', in West Athen",,545,0,0
123,"Coiling Eremite","Elysium, Sand dunes near Cold Rock",,0,0,0
124,"Cold Slither","Adonis, Abyss N",,4873,1560,3375
125,"Colonel Frank Kaehler",Omni-Forest,"Colonel Frank Kaehler Keahler Kehler",716,700,2000
126,"Comatosed Soul","Elysium, E Whispervale and 115 Inc",,0,0,0
127,"Commander Jocasta","at Cyborg Barracks in Greater Tir County",,647,3232,2340
128,"Commander Kelly Frederickson","Tir County","Commander Kelly Frederickson Fredrickson",646,1750,1100
129,"Commander Kend Ash","Omni-1 Trade","Bazzit's Alien Library Linked Hacker Tool Vanguard Node Access Card Kyr'Ozch Structural Analyzer",710,415,405
130,"Commander Williams","The Reck","commander williams",750,1438,1908
131,"Conflagrant Spirit","in Inferno, NW of Yuttos",,4005,2247,1393
132,"Contemplating Spirits And Unrepentant Spirits","among the runes just north of the portal to Penumbra in Inferno surrounding the Spirit Of Disruption.",,4005,0,0
133,"Corrupt Spirit","Adonis, 1524 x 464 S and 1941 x 2241 N",,4872,1524,464
134,"Crabby Golem","Adonis, 2334 x 559 SE and 783 x 1012 SW",,4872,2334,559
135,"Cranky Golem","Adonis, 2402 x 638 SE and 849 x 1177 SW",,4872,2402,638
136,"Creepy Spider","Inferno, N of 255 Incarnator",,4605,3222,3419
137,Crete,"Inferno, 255 Incarnator",,4605,3140,3039
138,Cuty,"Tir County, Crater Farm Region",,646,1500,600
139,"Cyborg Barracks","in the northeast part of the world, in Greater Tir County. Recommended for teams of lvl 70-90.","Borg Baracks Barrack Barrackes Barracks Barracksccccc Barracs Barraks Camp Campp Camps Domain Dungeon Borgbarracks Borgs Cyborg Cyborgbarracks",647,3230,2340
140,"Cyborg Brigadier General","Mort (Can be found wandering at the Ruins on Mort Crater, use the Sentinels grid exit)",,560,1400,530
141,"Cyborg Executioner","The Reck","cyborg executioner",750,1980,1411
142,"Cyborg Lieutenant Colonel","Mort (Can be found wandering at the Ruins on Mort Crater, use the Sentinels grid exit)",,560,1400,530
143,"Daedra Iberra","Pleasant Meadows",,630,1510,720
144,"Dana McCoy","Lower Scheol",,4881,1220,110
145,"Dancing Atrox Bar","Omni-1 Screening Area (Omni Forest). You may know this place as Relax Bar.","Relax Bar Club Bar",716,300,1850
146,"Dangerous Prisoner","Milky Way","dangerous prisoner",625,4562,366
147,"Daria Marie Walzer","Lush Fields",,695,1782,2062
148,"Daring Dryad","Penumbra, South of W Pipe Entrance",,0,0,0
149,"Dauntless Dryad","Penumbra, South of W Pipe Entrance",,0,0,0
150,"Deadly Prisoner","Milky Way","deadly prisoner",625,765,1031
151,"Deep Artery Valley","in the mideastern part of the world. No grid and no whompa. To the north of Deep Artery Valley is Greater Tir County (but a force field blocks you from zoning north), south is Belial Forest, west is Central Artery Valley and Southern Artery Valley, no zone to east.",Deeparteryvalley,595,0,0
152,"Defender Of The Three","Temple Of The Three Winds, Greater Tir County",,647,0,0
153,"Deidre Lux","in the East Last Ditch area of Stret West Bank.","Bazzit's Alien Library Hacker Tool Vanguard Node Access Card",790,1260,2845
154,"Delinquent Spirit","Adonis, S",,4872,1579,433
155,"Den Smuggler Pilot","Smugglers Den, Southern Fouls Hills",,615,1755,872
156,"Desert Nomad Commando lvl 30","Inside SBC-Xpm Site Alpha-Romeo",,6300,346,556
157,"Desert Nomad Commando lvl 60","Inside SBC-Xpm Site Alpha-Romeo",,6301,346,556
158,"Desert Nomad Commando lvl 100","Inside SBC-Xpm Site Alpha-Romeo",,6302,346,556
159,"Desert Nomad Commando lvl 150","Inside SBC-Xpm Site Alpha-Romeo",,6303,346,556
160,"Desert Nomad Commando lvl 200","Inside SBC-Xpm Site Alpha-Romeo",,6304,346,556
161,"Desert Nomad Commando lvl 214","Inside SBC-Xpm Site Alpha-Romeo",,6305,346,556
162,"Desert Nomad Commando lvl 220","Inside SBC-Xpm Site Alpha-Romeo",,6306,346,556
163,"Devoted Spirit Hunter","Inferno, West of Sorrow",,4005,645,1314
164,"Diamondine Soldier","Eastern Fouls Plain",,620,1925,1450
165,"Diamondine Trainee","Eastern Fouls Plain",,620,1925,1450
166,Ding,"Greater Tir County",,647,0,0
167,"Diseased Prisoner","Milky Way, near 6L","diseased prisoner",625,3624,585
168,"Distracted Snake Tamer","Inferno, 225 Incarnator",,4605,3515,1957
169,"Disturbing Imp","Elysium, Near Ergo",,0,0,0
170,"Doctor Krank","Centeral Artery Valley","Dr Krank Dr Crank Drcrank",590,2965,1315
171,"Dodga Demercel","Rising Sun, Aegean",,585,0,0
172,"Dominus Facut the Bloodless","Inner Sanctum, 3rd Floor",,0,0,0
173,"Dominus Jiannu","Inner Sanctum, 3rd Floor",,0,0,0
174,"Dominus Ummoh the Pedagogue","Inner Sanctum, 3rd Floor",,0,0,0
175,"Donna Red",Nascense,"Quest Clan Garden Key Alban Redeemed",4310,985,1760
176,"Dr. Hercules Lincoln","","",610,1133,2376
177,"Dr. Jones - Physical Anthropologist","Lower Scheol",,4881,1180,83
178,"Dr.Curry - Linguistic Anthropologist","Upper Scheol",,4880,1089,1137
179,"Dr.Darnell - Social Anthropologist","Upper Scheol",,4880,305,1111
180,"Dr.Hestyia - Archaeologist","Lower Scheol",,4881,799,595
181,"Eastern Fouls Plain","in the southeast part of the world. No grid or whompa. North of E.Fouls Plain is Belial Forest (but a force field keeps you from zoning north), south is Southern Fouls Hills, north west is Milky Way, southwest is Pleasant Meadow. No zone avail to the east.","East Foul Plains Easternfoulsplain Efp",620,0,0
182,"Ecclesiast Abal Fal",Nascense,"Quest Clan Garden Key Alban Redeemed",4310,1890,690
183,Eddie,"Stret West Bank, outside Reets Retreat",Eddy,790,1212,2828
184,"Eden Cafe","Omni Entertainment, South",,705,744,417
185,"Eighth Brood Champion","Hollow Island",,605,0,0
186,"Electro Unique","Wailing Wastes, north of Athens Shire","Electro Umique Uneak Unique Uniqui Electrounique",551,650,1950
187,"Elian Zuwadza",Galway,,685,450,1300
188,"Eliminator Shiro","Condemned Subway 201+ in the first big room",,0,0,0
189,"Elmer Ragg",Mort,,560,1731,942
190,"Ember Chimera","Burning Marshes SW of Sorrow",,4005,757,870
191,"Enjoy It While It Lasts","Tir City","bar club",640,650,400
192,"Enkindled Spirit","Inferno, NW of Yuttos",,4005,2326,1280
193,"Enterprice Shop",ICC,veteran,655,3206,820
194,"Entvined General","The Reck","entvined general",750,1520,794
195,"Eradicator Deimos","Cyborg Barracks, Greater Tir County","deimos demos eradicater eradicator",647,3232,2340
196,"Ergo, Inferno Guardian of Shadows","","",4605,2800,3378
197,"Ergo, Penumbra Guardian of Shadows","","",4321,2171,2446
198,"Eric Mendelson Outpost","Varmint Woods, there are mission terms, insure term and shopping terms","Erik Ericmendelsonoutpost",600,2450,2100
199,"Eroded Ancient Statue","","",610,1033,2005
200,"The Escaped Gargantula","Galway County",,685,2160,1150
201,"Estella Fire",Inferno,"",4605,3554,2030
202,"Ethel Anthony","near the Newland Desert Whompah, standing next to Jens Stoltenberg","AI Quest Social Clothing Combined Armor",565,2179,1547
203,Eumenides,"Condemned Subway, at the end of the one rail way hall, past the slum runners but before the infectors",,0,0,0
204,"Eumenides (raid)","Condemned Subway 201+, at the end of the shopping corridor",,0,0,0
205,"Explosive Prisoner","Milky Way","explosive prisoner",625,1063,924
206,"Fanatic Spirit Hunter","Inferno, North of Sorrow",,4005,1386,1990
207,"Father Time","Southern Artery Valley at the Soul Fragment",,610,2600,2900
208,"Father Time","Greater Tir County at The Falls",,647,2820,1640
209,"Father Time","Aegean at The Mask of Comedy",,585,1460,2800
210,"Father Time","Mort in a Crater with The Mark of Tragedy",,560,1292,2600
211,"Father Time","Milky Way at the Crashed Ship",,625,3300,700
212,"Fearless Dryad","Penumbra, South of W Pipe Entrance",,0,0,0
213,"Feral Vortexoid Mindbreaker","Burning Marshes SW of Sorrow",,4005,617,737
214,"Feral Vortexoid Soother","Burning Marshes SW of Sorrow",,4005,617,737
215,"Feral Vortexoid Striker","Burning Marshes SW of Sorrow",,4005,617,737
216,"Fetid Eremite",Inferno,"",4605,2611,2122
217,"Field Commander Tettle","The Reck","commander tettle",750,640,282
218,"Fiery Imp","","",4005,836,186
219,"Fiery Soldier","Eastern Fouls Plain",,620,365,2060
220,"Fiery Trainee","Eastern Fouls Plain",,620,365,2060
221,"Fifth Brood Champion","Hollow Island",,605,0,0
222,"Fire Flea","Inferno, it's the first creature you will encounter. When killed, a Fiery Imp will appear.","",4005,836,186
223,"First Brood Champion","Hollow Island",,605,0,0
224,"Fly Agaric",Clondyke,"Bronto Amanita Muscaria",670,588,3441
225,"Force Recon Commander 191","Clondyke, south of fixer grid 4R","dreadlochs dreads",670,1088,2740
226,Forefather,"Smuggler's Den, Southern Fouls Hills",,615,1755,872
227,"Fourth Brood Champion","Hollow Island",,605,0,0
228,"Freedom Outpost","Athen Shire. Insure terms, shops and mission terms and banks are available here. Directly beside the outpost is the zone to Wailing Wastes.",Freedomoutpost,550,1553,370
